winloss,date,score,opponent,location,year,record,coach,conference
W,"Sat, November 21",56 - 28,Utah,"Provo, UT",1981,11-2 (0.846),LaVell Edwards,WAC
W,"Sat, November 21",56 - 28,Utah,"Provo, UT",1981,11-2 (0.846),LaVell Edwards,WAC
W,"Fri, December 18",38 - 36,Washington St,"Holiday Bowl (1) - San Diego, CA",1981,11-2 (0.846),LaVell Edwards,WAC
W,"Fri, December 18",38 - 36,Washington St,"Holiday Bowl (1) - San Diego, CA",1981,11-2 (0.846),LaVell Edwards,WAC
W,"Thu, September 2",27 - 0,UNLV,"Las Vegas, NV",1982,8-4 (0.667),LaVell Edwards,WAC
L,"Sat, September 11",14 - 17,Georgia,"Athens, GA",1982,8-4 (0.667),LaVell Edwards,WAC
L,"Sat, September 25",38 - 39,Air Force,"Provo, UT",1982,8-4 (0.667),LaVell Edwards,WAC
W,"Sat, October 2",51 - 3,UTEP,"El Paso, TX",1982,8-4 (0.667),LaVell Edwards,WAC
W,"Sat, October 9",40 - 12,New Mexico,"Albuquerque, NM",1982,8-4 (0.667),LaVell Edwards,WAC
W,"Sat, October 16",39 - 25,Hawai'i,"Provo, UT",1982,8-4 (0.667),LaVell Edwards,WAC
W,"Sat, October 23",34 - 18,Colorado St,"Provo, UT",1982,8-4 (0.667),LaVell Edwards,WAC
L,"Sat, October 30",17 - 20,Utah St,"Logan, UT",1982,8-4 (0.667),LaVell Edwards,WAC
W,"Sat, November 6",23 - 13,Wyoming,"Provo, UT",1982,8-4 (0.667),LaVell Edwards,WAC
W,"Sat, November 13",58 - 8,San Diego St,"Cougar Stadium - Provo, UT",1982,8-4 (0.667),LaVell Edwards,WAC
W,"Sat, November 20",17 - 12,Utah,"Salt Lake City, UT",1982,8-4 (0.667),LaVell Edwards,WAC
L,"Fri, December 17",17 - 47,Ohio St,"Holiday Bowl (1) - San Diego, CA",1982,8-4 (0.667),LaVell Edwards,WAC
L,"Sat, September 10",36 - 40,Baylor,"Waco, TX",1983,11-1 (0.917),LaVell Edwards,WAC
L,"Sat, September 10",36 - 40,Baylor,"Waco, TX",1983,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, September 17",63 - 28,Bowling Green,"Provo, UT",1983,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, September 17",63 - 28,Bowling Green,"Provo, UT",1983,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, September 24",46 - 28,Air Force,"Air Force Academy, CO",1983,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, September 24",46 - 28,Air Force,"Air Force Academy, CO",1983,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, October 1",37 - 35,UCLA,"Pasadena, CA",1983,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, October 1",37 - 35,UCLA,"Pasadena, CA",1983,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, October 8",41 - 10,Wyoming,"Laramie, WY",1983,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, October 8",41 - 10,Wyoming,"Laramie, WY",1983,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, October 15",66 - 21,New Mexico,"Provo, UT",1983,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, October 15",66 - 21,New Mexico,"Provo, UT",1983,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, October 22",47 - 12,San Diego St,"Jack Murphy Stadium - San Diego, CA",1983,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, October 22",47 - 12,San Diego St,"Jack Murphy Stadium - San Diego, CA",1983,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, October 29",38 - 34,Utah St,"Provo, UT",1983,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, October 29",38 - 34,Utah St,"Provo, UT",1983,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, November 5",31 - 9,UTEP,"El Paso, TX",1983,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, November 5",31 - 9,UTEP,"El Paso, TX",1983,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, November 12",24 - 6,Colorado St,"Provo, UT",1983,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, November 12",24 - 6,Colorado St,"Provo, UT",1983,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, November 19",55 - 7,Utah,"Provo, UT",1983,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, November 19",55 - 7,Utah,"Provo, UT",1983,11-1 (0.917),LaVell Edwards,WAC
W,"Fri, December 23",21 - 17,Missouri,"Holiday Bowl (1) - San Diego, CA",1983,11-1 (0.917),LaVell Edwards,WAC
W,"Fri, December 23",21 - 17,Missouri,"Holiday Bowl (1) - San Diego, CA",1983,11-1 (0.917),LaVell Edwards,WAC
L,"Sat, September 10",36 - 40,Baylor,"Waco, TX",1983,11-1 (0.917),LaVell Edwards,WAC
L,"Sat, September 10",36 - 40,Baylor,"Waco, TX",1983,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, September 17",63 - 28,Bowling Green,"Provo, UT",1983,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, September 17",63 - 28,Bowling Green,"Provo, UT",1983,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, September 24",46 - 28,Air Force,"Air Force Academy, CO",1983,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, September 24",46 - 28,Air Force,"Air Force Academy, CO",1983,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, October 1",37 - 35,UCLA,"Pasadena, CA",1983,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, October 1",37 - 35,UCLA,"Pasadena, CA",1983,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, October 8",41 - 10,Wyoming,"Laramie, WY",1983,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, October 8",41 - 10,Wyoming,"Laramie, WY",1983,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, October 15",66 - 21,New Mexico,"Provo, UT",1983,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, October 15",66 - 21,New Mexico,"Provo, UT",1983,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, October 22",47 - 12,San Diego St,"Jack Murphy Stadium - San Diego, CA",1983,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, October 22",47 - 12,San Diego St,"Jack Murphy Stadium - San Diego, CA",1983,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, October 29",38 - 34,Utah St,"Provo, UT",1983,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, October 29",38 - 34,Utah St,"Provo, UT",1983,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, November 5",31 - 9,UTEP,"El Paso, TX",1983,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, November 5",31 - 9,UTEP,"El Paso, TX",1983,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, November 12",24 - 6,Colorado St,"Provo, UT",1983,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, November 12",24 - 6,Colorado St,"Provo, UT",1983,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, November 19",55 - 7,Utah,"Provo, UT",1983,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, November 19",55 - 7,Utah,"Provo, UT",1983,11-1 (0.917),LaVell Edwards,WAC
W,"Fri, December 23",21 - 17,Missouri,"Holiday Bowl (1) - San Diego, CA",1983,11-1 (0.917),LaVell Edwards,WAC
W,"Fri, December 23",21 - 17,Missouri,"Holiday Bowl (1) - San Diego, CA",1983,11-1 (0.917),LaVell Edwards,WAC
W,"Sat, September 1",20 - 14,Pittsburgh,"Pittsburgh, PA",1984,13-0 (1.000),LaVell Edwards,WAC
W,"Sat, September 1",20 - 14,Pittsburgh,"Pittsburgh, PA",1984,13-0 (1.000),LaVell Edwards,WAC
W,"Sat, September 8",47 - 13,Baylor,"Provo, UT",1984,13-0 (1.000),LaVell Edwards,WAC
W,"Sat, September 8",47 - 13,Baylor,"Provo, UT",1984,13-0 (1.000),LaVell Edwards,WAC
W,"Sat, September 15",38 - 15,Tulsa,"Provo, UT",1984,13-0 (1.000),LaVell Edwards,WAC
W,"Sat, September 15",38 - 15,Tulsa,"Provo, UT",1984,13-0 (1.000),LaVell Edwards,WAC
W,"Sat, September 22",18 - 13,Hawai'i,"Honolulu, HI",1984,13-0 (1.000),LaVell Edwards,WAC
W,"Sat, September 22",18 - 13,Hawai'i,"Honolulu, HI",1984,13-0 (1.000),LaVell Edwards,WAC
W,"Sat, October 6",52 - 9,Colorado St,"Fort Collins, CO",1984,13-0 (1.000),LaVell Edwards,WAC
W,"Sat, October 6",52 - 9,Colorado St,"Fort Collins, CO",1984,13-0 (1.000),LaVell Edwards,WAC
W,"Sat, October 13",41 - 38,Wyoming,"Provo, UT",1984,13-0 (1.000),LaVell Edwards,WAC
W,"Sat, October 13",41 - 38,Wyoming,"Provo, UT",1984,13-0 (1.000),LaVell Edwards,WAC
W,"Sat, October 20",30 - 25,Air Force,"Air Force Academy, CO",1984,13-0 (1.000),LaVell Edwards,WAC
W,"Sat, October 20",30 - 25,Air Force,"Air Force Academy, CO",1984,13-0 (1.000),LaVell Edwards,WAC
W,"Thu, October 25",48 - 0,New Mexico,"Albuquerque, NM",1984,13-0 (1.000),LaVell Edwards,WAC
W,"Thu, October 25",48 - 0,New Mexico,"Albuquerque, NM",1984,13-0 (1.000),LaVell Edwards,WAC
W,"Sat, November 3",42 - 9,UTEP,"Provo, UT",1984,13-0 (1.000),LaVell Edwards,WAC
W,"Sat, November 3",42 - 9,UTEP,"Provo, UT",1984,13-0 (1.000),LaVell Edwards,WAC
W,"Sat, November 10",34 - 3,San Diego St,"Cougar Stadium - Provo, UT",1984,13-0 (1.000),LaVell Edwards,WAC
W,"Sat, November 10",34 - 3,San Diego St,"Cougar Stadium - Provo, UT",1984,13-0 (1.000),LaVell Edwards,WAC
W,"Sat, November 17",24 - 14,Utah,"Salt Lake City, UT",1984,13-0 (1.000),LaVell Edwards,WAC
W,"Sat, November 17",24 - 14,Utah,"Salt Lake City, UT",1984,13-0 (1.000),LaVell Edwards,WAC
W,"Sat, November 24",38 - 13,Utah St,"Provo, UT",1984,13-0 (1.000),LaVell Edwards,WAC
W,"Sat, November 24",38 - 13,Utah St,"Provo, UT",1984,13-0 (1.000),LaVell Edwards,WAC
W,"Fri, December 21",24 - 17,Michigan,"Holiday Bowl (1) - San Diego, CA",1984,13-0 (1.000),LaVell Edwards,WAC
W,"Fri, December 21",24 - 17,Michigan,"Holiday Bowl (1) - San Diego, CA",1984,13-0 (1.000),LaVell Edwards,WAC
W,"Sat, September 1",20 - 14,Pittsburgh,"Pittsburgh, PA",1984,13-0 (1.000),LaVell Edwards,WAC
W,"Sat, September 1",20 - 14,Pittsburgh,"Pittsburgh, PA",1984,13-0 (1.000),LaVell Edwards,WAC
W,"Sat, September 8",47 - 13,Baylor,"Provo, UT",1984,13-0 (1.000),LaVell Edwards,WAC
W,"Sat, September 8",47 - 13,Baylor,"Provo, UT",1984,13-0 (1.000),LaVell Edwards,WAC
W,"Sat, September 15",38 - 15,Tulsa,"Provo, UT",1984,13-0 (1.000),LaVell Edwards,WAC
W,"Sat, September 15",38 - 15,Tulsa,"Provo, UT",1984,13-0 (1.000),LaVell Edwards,WAC
W,"Sat, September 22",18 - 13,Hawai'i,"Honolulu, HI",1984,13-0 (1.000),LaVell Edwards,WAC
W,"Sat, September 22",18 - 13,Hawai'i,"Honolulu, HI",1984,13-0 (1.000),LaVell Edwards,WAC
W,"Sat, October 6",52 - 9,Colorado St,"Fort Collins, CO",1984,13-0 (1.000),LaVell Edwards,WAC
W,"Sat, October 6",52 - 9,Colorado St,"Fort Collins, CO",1984,13-0 (1.000),LaVell Edwards,WAC
W,"Sat, October 13",41 - 38,Wyoming,"Provo, UT",1984,13-0 (1.000),LaVell Edwards,WAC
W,"Sat, October 13",41 - 38,Wyoming,"Provo, UT",1984,13-0 (1.000),LaVell Edwards,WAC
W,"Sat, October 20",30 - 25,Air Force,"Air Force Academy, CO",1984,13-0 (1.000),LaVell Edwards,WAC
W,"Sat, October 20",30 - 25,Air Force,"Air Force Academy, CO",1984,13-0 (1.000),LaVell Edwards,WAC
W,"Thu, October 25",48 - 0,New Mexico,"Albuquerque, NM",1984,13-0 (1.000),LaVell Edwards,WAC
W,"Thu, October 25",48 - 0,New Mexico,"Albuquerque, NM",1984,13-0 (1.000),LaVell Edwards,WAC
W,"Sat, November 3",42 - 9,UTEP,"Provo, UT",1984,13-0 (1.000),LaVell Edwards,WAC
W,"Sat, November 3",42 - 9,UTEP,"Provo, UT",1984,13-0 (1.000),LaVell Edwards,WAC
W,"Sat, November 10",34 - 3,San Diego St,"Cougar Stadium - Provo, UT",1984,13-0 (1.000),LaVell Edwards,WAC
W,"Sat, November 10",34 - 3,San Diego St,"Cougar Stadium - Provo, UT",1984,13-0 (1.000),LaVell Edwards,WAC
W,"Sat, November 17",24 - 14,Utah,"Salt Lake City, UT",1984,13-0 (1.000),LaVell Edwards,WAC
W,"Sat, November 17",24 - 14,Utah,"Salt Lake City, UT",1984,13-0 (1.000),LaVell Edwards,WAC
W,"Sat, November 24",38 - 13,Utah St,"Provo, UT",1984,13-0 (1.000),LaVell Edwards,WAC
W,"Sat, November 24",38 - 13,Utah St,"Provo, UT",1984,13-0 (1.000),LaVell Edwards,WAC
W,"Fri, December 21",24 - 17,Michigan,"Holiday Bowl (1) - San Diego, CA",1984,13-0 (1.000),LaVell Edwards,WAC
W,"Fri, December 21",24 - 17,Michigan,"Holiday Bowl (1) - San Diego, CA",1984,13-0 (1.000),LaVell Edwards,WAC
W,"Thu, August 29",28 - 14,Boston College,"Kickoff Classic - East Rutherford, NJ",1985,11-3 (0.786),LaVell Edwards,WAC
L,"Sat, September 7",24 - 27,UCLA,"Provo, UT",1985,11-3 (0.786),LaVell Edwards,WAC
W,"Sat, September 14",31 - 3,Washington,"Provo, UT",1985,11-3 (0.786),LaVell Edwards,WAC
W,"Sat, September 21",26 - 24,Temple,"Philadelphia, PA",1985,11-3 (0.786),LaVell Edwards,WAC
W,"Sat, October 5",42 - 7,Colorado St,"Fort Collins, CO",1985,11-3 (0.786),LaVell Edwards,WAC
W,"Sat, October 12",28 - 0,San Diego St,"Cougar Stadium - Provo, UT",1985,11-3 (0.786),LaVell Edwards,WAC
W,"Sat, October 19",45 - 23,New Mexico,"Albuquerque, NM",1985,11-3 (0.786),LaVell Edwards,WAC
L,"Sat, October 26",16 - 23,UTEP,"El Paso, TX",1985,11-3 (0.786),LaVell Edwards,WAC
W,"Sat, November 2",59 - 0,Wyoming,"Provo, UT",1985,11-3 (0.786),LaVell Edwards,WAC
W,"Sat, November 9",44 - 0,Utah St,"Logan, UT",1985,11-3 (0.786),LaVell Edwards,WAC
W,"Sat, November 16",28 - 21,Air Force,"Provo, UT",1985,11-3 (0.786),LaVell Edwards,WAC
W,"Sat, November 23",38 - 28,Utah,"Provo, UT",1985,11-3 (0.786),LaVell Edwards,WAC
W,"Sat, December 7",26 - 6,Hawai'i,"Honolulu, HI",1985,11-3 (0.786),LaVell Edwards,WAC
L,"Sat, December 28",7 - 10,Ohio St,"Florida Citrus Bowl - Orlando, FL",1985,11-3 (0.786),LaVell Edwards,WAC
W,"Sat, September 6",52 - 0,Utah St,"Provo, UT",1986,8-5 (0.615),LaVell Edwards,WAC
W,"Sat, September 13",31 - 30,New Mexico,"Provo, UT",1986,8-5 (0.615),LaVell Edwards,WAC
L,"Sat, September 20",21 - 52,Washington,"Seattle, WA",1986,8-5 (0.615),LaVell Edwards,WAC
W,"Sat, September 27",27 - 17,Temple,"Provo, UT",1986,8-5 (0.615),LaVell Edwards,WAC
L,"Fri, October 3",20 - 24,Colorado St,"Provo, UT",1986,8-5 (0.615),LaVell Edwards,WAC
W,"Sat, October 18",34 - 22,Wyoming,"Laramie, WY",1986,8-5 (0.615),LaVell Edwards,WAC
W,"Sat, October 25",37 - 13,UTEP,"Provo, UT",1986,8-5 (0.615),LaVell Edwards,WAC
W,"Sat, November 8",10 - 3,Hawai'i,"Honolulu, HI",1986,8-5 (0.615),LaVell Edwards,WAC
L,"Sat, November 15",7 - 10,Oregon St,"Provo, UT",1986,8-5 (0.615),LaVell Edwards,WAC
W,"Sat, November 22",35 - 21,Utah,"Salt Lake City, UT",1986,8-5 (0.615),LaVell Edwards,WAC
L,"Sat, November 29",3 - 10,San Diego St,"Jack Murphy Stadium - San Diego, CA",1986,8-5 (0.615),LaVell Edwards,WAC
W,"Sat, December 6",23 - 3,Air Force,"Air Force Academy, CO",1986,8-5 (0.615),LaVell Edwards,WAC
L,"Tue, December 30",10 - 31,UCLA,"Freedom Bowl - Anaheim, CA",1986,8-5 (0.615),LaVell Edwards,WAC
L,"Wed, September 2",17 - 27,Pittsburgh,"Provo, UT",1987,9-4 (0.692),LaVell Edwards,WAC
W,"Sat, September 12",22 - 17,Texas,"Austin, TX",1987,9-4 (0.692),LaVell Edwards,WAC
L,"Sat, September 19",12 - 33,TCU,"Fort Worth, TX",1987,9-4 (0.692),LaVell Edwards,WAC
W,"Sat, September 26",45 - 25,New Mexico,"Albuquerque, NM",1987,9-4 (0.692),LaVell Edwards,WAC
W,"Fri, October 2",45 - 24,Utah St,"Provo, UT",1987,9-4 (0.692),LaVell Edwards,WAC
L,"Sat, October 10",27 - 29,Wyoming,"Provo, UT",1987,9-4 (0.692),LaVell Edwards,WAC
W,"Sat, October 24",16 - 14,Hawai'i,"Honolulu, HI",1987,9-4 (0.692),LaVell Edwards,WAC
W,"Sat, October 31",24 - 13,Air Force,"Provo, UT",1987,9-4 (0.692),LaVell Edwards,WAC
W,"Sat, November 7",38 - 21,San Diego St,"Cougar Stadium - Provo, UT",1987,9-4 (0.692),LaVell Edwards,WAC
W,"Sat, November 14",37 - 24,UTEP,"El Paso, TX",1987,9-4 (0.692),LaVell Edwards,WAC
W,"Sat, November 21",21 - 18,Utah,"Provo, UT",1987,9-4 (0.692),LaVell Edwards,WAC
W,"Fri, December 4",30 - 26,Colorado St,"Gridiron Bowl - Melbourne, Australia",1987,9-4 (0.692),LaVell Edwards,WAC
L,"Tue, December 22",16 - 22,Virginia,"All-American Bowl (2) - Birmingham, AL",1987,9-4 (0.692),LaVell Edwards,WAC
L,"Thu, September 1",14 - 24,Wyoming,"Laramie, WY",1988,9-4 (0.692),LaVell Edwards,WAC
W,"Thu, September 8",47 - 6,Texas,"Provo, UT",1988,9-4 (0.692),LaVell Edwards,WAC
W,"Sat, September 17",31 - 27,UTEP,"Provo, UT",1988,9-4 (0.692),LaVell Edwards,WAC
W,"Fri, September 30",38 - 3,Utah St,"Provo, UT",1988,9-4 (0.692),LaVell Edwards,WAC
W,"Sat, October 8",42 - 7,Colorado St,"Provo, UT",1988,9-4 (0.692),LaVell Edwards,WAC
W,"Sat, October 15",31 - 18,TCU,"Provo, UT",1988,9-4 (0.692),LaVell Edwards,WAC
W,"Sat, October 22",24 - 23,Hawai'i,"Honolulu, HI",1988,9-4 (0.692),LaVell Edwards,WAC
W,"Sat, October 29",65 - 0,New Mexico,"Provo, UT",1988,9-4 (0.692),LaVell Edwards,WAC
L,"Sat, November 5",15 - 27,San Diego St,"Jack Murphy Stadium - San Diego, CA",1988,9-4 (0.692),LaVell Edwards,WAC
W,"Sat, November 12",49 - 31,Air Force,"Air Force Academy, CO",1988,9-4 (0.692),LaVell Edwards,WAC
L,"Sat, November 19",28 - 57,Utah,"Salt Lake City, UT",1988,9-4 (0.692),LaVell Edwards,WAC
L,"Sat, December 3",17 - 41,Miami (FL),"Miami, FL",1988,9-4 (0.692),LaVell Edwards,WAC
W,"Thu, December 29",20 - 17,Colorado,"Freedom Bowl - Anaheim, CA",1988,9-4 (0.692),LaVell Edwards,WAC
W,"Sat, September 2",24 - 3,New Mexico,"Albuquerque, NM",1989,10-3 (0.769),LaVell Edwards,WAC
L,"Thu, September 7",41 - 46,Washington St,"Provo, UT",1989,10-3 (0.769),LaVell Edwards,WAC
W,"Sat, September 16",31 - 10,Navy,"Annapolis, MD",1989,10-3 (0.769),LaVell Edwards,WAC
W,"Sat, September 30",37 - 10,Utah St,"Logan, UT",1989,10-3 (0.769),LaVell Edwards,WAC
W,"Sat, October 7",36 - 20,Wyoming,"Provo, UT",1989,10-3 (0.769),LaVell Edwards,WAC
W,"Sat, October 14",45 - 16,Colorado St,"Fort Collins, CO",1989,10-3 (0.769),LaVell Edwards,WAC
W,"Sat, October 21",49 - 24,UTEP,"Provo, UT",1989,10-3 (0.769),LaVell Edwards,WAC
L,"Sat, October 28",14 - 56,Hawai'i,"Honolulu, HI",1989,10-3 (0.769),LaVell Edwards,WAC
W,"Sat, November 4",45 - 41,Oregon,"Provo, UT",1989,10-3 (0.769),LaVell Edwards,WAC
W,"Sat, November 11",44 - 35,Air Force,"Provo, UT",1989,10-3 (0.769),LaVell Edwards,WAC
W,"Sat, November 18",70 - 31,Utah,"Provo, UT",1989,10-3 (0.769),LaVell Edwards,WAC
W,"Sat, November 25",48 - 27,San Diego St,"Jack Murphy Stadium - San Diego, CA",1989,10-3 (0.769),LaVell Edwards,WAC
L,"Fri, December 29",39 - 50,Penn St,"Holiday Bowl (1) - San Diego, CA",1989,10-3 (0.769),LaVell Edwards,WAC
W,"Sat, September 1",30 - 10,UTEP,"El Paso, TX",1990,10-3 (0.769),LaVell Edwards,WAC
W,"Sat, September 8",28 - 21,Miami (FL),"Provo, UT",1990,10-3 (0.769),LaVell Edwards,WAC
W,"Sat, September 15",50 - 36,Washington St,"Provo, UT",1990,10-3 (0.769),LaVell Edwards,WAC
W,"Sat, September 22",62 - 34,San Diego St,"Cougar Stadium - Provo, UT",1990,10-3 (0.769),LaVell Edwards,WAC
L,"Sat, September 29",16 - 32,Oregon,"Eugene, OR",1990,10-3 (0.769),LaVell Edwards,WAC
W,"Sat, October 13",52 - 9,Colorado St,"Provo, UT",1990,10-3 (0.769),LaVell Edwards,WAC
W,"Mon, October 29",55 - 31,New Mexico,"Provo, UT",1990,10-3 (0.769),LaVell Edwards,WAC
W,"Sat, November 3",54 - 7,Air Force,"Air Force Academy, CO",1990,10-3 (0.769),LaVell Edwards,WAC
W,"Sat, November 10",45 - 14,Wyoming,"Laramie, WY",1990,10-3 (0.769),LaVell Edwards,WAC
W,"Sat, November 17",45 - 22,Utah,"Salt Lake City, UT",1990,10-3 (0.769),LaVell Edwards,WAC
W,"Sat, November 24",45 - 10,Utah St,"Provo, UT",1990,10-3 (0.769),LaVell Edwards,WAC
L,"Sat, December 1",28 - 59,Hawai'i,"Honolulu, HI",1990,10-3 (0.769),LaVell Edwards,WAC
L,"Sat, December 29",14 - 65,Texas A&M,"Holiday Bowl (1) - San Diego, CA",1990,10-3 (0.769),LaVell Edwards,WAC
L,"Thu, August 29",28 - 44,Florida St,"Pigskin Classic - Anaheim, CA",1991,8-3-2 (0.615),LaVell Edwards,WAC
L,"Sat, September 7",23 - 27,UCLA,"Pasadena, CA",1991,8-3-2 (0.615),LaVell Edwards,WAC
L,"Sat, September 21",7 - 33,Penn St,"State College, PA",1991,8-3-2 (0.615),LaVell Edwards,WAC
W,"Sat, September 28",21 - 7,Air Force,"Provo, UT",1991,8-3-2 (0.615),LaVell Edwards,WAC
W,"Fri, October 4",38 - 10,Utah St,"Provo, UT",1991,8-3-2 (0.615),LaVell Edwards,WAC
W,"Sat, October 12",31 - 29,UTEP,"Provo, UT",1991,8-3-2 (0.615),LaVell Edwards,WAC
W,"Sat, October 19",35 - 18,Hawai'i,"Provo, UT",1991,8-3-2 (0.615),LaVell Edwards,WAC
W,"Sat, October 26",41 - 23,New Mexico,"Albuquerque, NM",1991,8-3-2 (0.615),LaVell Edwards,WAC
W,"Thu, October 31",40 - 17,Colorado St,"Fort Collins, CO",1991,8-3-2 (0.615),LaVell Edwards,WAC
W,"Sat, November 9",56 - 31,Wyoming,"Provo, UT",1991,8-3-2 (0.615),LaVell Edwards,WAC
T,"Sat, November 16",52 - 52,San Diego St,"Jack Murphy Stadium - San Diego, CA",1991,8-3-2 (0.615),LaVell Edwards,WAC
W,"Sat, November 23",48 - 17,Utah,"Provo, UT",1991,8-3-2 (0.615),LaVell Edwards,WAC
T,"Mon, December 30",13 - 13,Iowa,"Holiday Bowl (1) - San Diego, CA",1991,8-3-2 (0.615),LaVell Edwards,WAC
W,"Sat, September 5",38 - 28,UTEP,"El Paso, TX",1992,8-5 (0.615),LaVell Edwards,WAC
L,"Thu, September 10",38 - 45,San Diego St,"Cougar Stadium - Provo, UT",1992,8-5 (0.615),LaVell Edwards,WAC
L,"Sat, September 19",10 - 17,UCLA,"Provo, UT",1992,8-5 (0.615),LaVell Edwards,WAC
L,"Sat, September 26",32 - 36,Hawai'i,"Honolulu, HI",1992,8-5 (0.615),LaVell Edwards,WAC
W,"Fri, October 2",30 - 9,Utah St,"Provo, UT",1992,8-5 (0.615),LaVell Edwards,WAC
W,"Sat, October 10",36 - 24,Fresno St,"Provo, UT",1992,8-5 (0.615),LaVell Edwards,WAC
W,"Sat, October 17",31 - 28,Wyoming,"Laramie, WY",1992,8-5 (0.615),LaVell Edwards,WAC
L,"Sat, October 24",16 - 42,Notre Dame,"South Bend, IN",1992,8-5 (0.615),LaVell Edwards,WAC
W,"Sat, October 31",30 - 17,Penn St,"Provo, UT",1992,8-5 (0.615),LaVell Edwards,WAC
W,"Sat, November 7",35 - 0,New Mexico,"Provo, UT",1992,8-5 (0.615),LaVell Edwards,WAC
W,"Sat, November 14",28 - 7,Air Force,"Air Force Academy, CO",1992,8-5 (0.615),LaVell Edwards,WAC
W,"Sat, November 21",31 - 22,Utah,"Salt Lake City, UT",1992,8-5 (0.615),LaVell Edwards,WAC
L,"Fri, December 25",20 - 23,Kansas,"Aloha Bowl - Honolulu, HI",1992,8-5 (0.615),LaVell Edwards,WAC
W,"Sat, September 4",34 - 31,New Mexico,"Albuquerque, NM",1993,6-6 (0.500),LaVell Edwards,WAC
W,"Sat, September 11",41 - 38,Hawai'i,"Provo, UT",1993,6-6 (0.500),LaVell Edwards,WAC
W,"Sat, September 18",27 - 22,Colorado St,"Fort Collins, CO",1993,6-6 (0.500),LaVell Edwards,WAC
W,"Sat, September 25",30 - 3,Air Force,"Provo, UT",1993,6-6 (0.500),LaVell Edwards,WAC
L,"Sat, October 9",14 - 68,UCLA,"Pasadena, CA",1993,6-6 (0.500),LaVell Edwards,WAC
L,"Sat, October 16",20 - 45,Notre Dame,"Provo, UT",1993,6-6 (0.500),LaVell Edwards,WAC
L,"Sat, October 23",45 - 48,Fresno St,"Provo, UT",1993,6-6 (0.500),LaVell Edwards,WAC
L,"Sat, October 30",56 - 58,Utah St,"Logan, UT",1993,6-6 (0.500),LaVell Edwards,WAC
W,"Thu, November 11",45 - 44,San Diego St,"Jack Murphy Stadium - San Diego, CA",1993,6-6 (0.500),LaVell Edwards,WAC
L,"Sat, November 20",31 - 34,Utah,"Provo, UT",1993,6-6 (0.500),LaVell Edwards,WAC
W,"Sat, November 27",47 - 16,UTEP,"Provo, UT",1993,6-6 (0.500),LaVell Edwards,WAC
L,"Thu, December 30",21 - 28,Ohio St,"Holiday Bowl (1) - San Diego, CA",1993,6-6 (0.500),LaVell Edwards,WAC
W,"Sat, September 3",13 - 12,Hawai'i,"Honolulu, HI",1994,10-3 (0.769),LaVell Edwards,WAC
W,"Sat, September 10",45 - 21,Air Force,"Air Force Academy, CO",1994,10-3 (0.769),LaVell Edwards,WAC
L,"Sat, September 17",21 - 28,Colorado St,"Provo, UT",1994,10-3 (0.769),LaVell Edwards,WAC
W,"Sat, September 24",49 - 47,New Mexico,"Provo, UT",1994,10-3 (0.769),LaVell Edwards,WAC
W,"Fri, September 30",34 - 6,Utah St,"Provo, UT",1994,10-3 (0.769),LaVell Edwards,WAC
